study_week,weekly_avg_shed,weekly_total_shed,weekly_shed_std,weekly_adherence_rate,weekly_avg_stress,weekly_avg_sleep,density_score,hair_length,any_breakage,wash_days_count,avg_steps_per_day
1,25.285714285714285,177,20.87034807020306,1.0,4.285714285714286,9.857142857142858,,27.6,1.0,3,3.142857142857143
2,19.142857142857142,134,12.601965077301388,1.0,5.142857142857143,9.571428571428571,,27.8,1.0,2,3.142857142857143
3,18.571428571428573,130,19.764084790828228,0.42857142857142855,4.285714285714286,7.714285714285714,20.0,28.0,1.0,2,1.2857142857142858
4,15.142857142857142,106,13.873578863299494,0.5714285714285714,5.571428571428571,8.142857142857142,36.0,28.2,0.0,2,2.2857142857142856
5,17.285714285714285,121,13.350584078537361,0.5714285714285714,3.857142857142857,7.714285714285714,28.0,28.3,1.0,3,1.8571428571428572
6,17.857142857142858,125,13.813382055438987,0.7142857142857143,3.4285714285714284,7.142857142857143,32.0,28.5,1.0,4,2.7142857142857144
7,11.857142857142858,83,10.431180365113232,0.0,3.0,8.571428571428571,30.0,28.8,0.0,4,1.7142857142857142
8,14.857142857142858,104,14.194230887096014,0.0,2.857142857142857,7.142857142857143,25.0,28.9,0.0,5,2.142857142857143
9,23.571428571428573,165,19.848233698553152,0.0,6.285714285714286,6.857142857142857,33.0,29.0,1.0,6,2.7142857142857144
10,11.714285714285714,82,6.575568054403759,0.0,4.285714285714286,7.0,36.0,29.2,0.0,7,2.857142857142857
11,12.142857142857142,85,6.593647736738025,0.0,5.285714285714286,7.0,38.0,29.5,0.0,6,2.4285714285714284
12,11.714285714285714,82,9.21437799879959,0.0,5.571428571428571,5.857142857142857,40.0,29.8,0.0,2,1.7142857142857142
