date,day,shed_count,adherence,routine_steps_done,hair_length_inches,scalp_image,image_density_score,breakage_observed,wash_day,hair_products,No,sleep_hours,stress_10,notes
11/16/2025,1,47,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Anti-Hair Fall)",,,,,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,12,6,
11/17/2025,2,15,TRUE,"Hair Mask, Leave in Conditioner, Hair Oil",,,,,No,"Cream Silk Hair Mask, Zenutrients Leave in Conditioner, Bremod Hair Oil",No,10,4,
11/18/2025,3,7,TRUE,Scalp Tonic (Volumising),,,,,No,Naturals Volumising Hair and Scalp Tonic,No,8,2,
11/19/2025,4,38,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Anti-Hair Fall)",,,,,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,11,5,
11/20/2025,5,11,TRUE,"Hair Mask, Leave in Conditioner, Hair Oil",,,,,No,"Cream Silk Hair Mask, Zenutrients Leave in Conditioner, Bremod Hair Oil",No,9,3,
11/21/2025,6,4,TRUE,Scalp Tonic (Volumising),,,,,No,Naturals Volumising Hair and Scalp Tonic,No,6,3,
11/22/2025,7,55,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Anti-Hair Fall)",27.6,NA,NA,Yes,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,13,7,177 total shed count
11/23/2025,8,17,TRUE,"Hair Mask, Leave in Conditioner, Hair Oil",,,,,Yes,"Cream Silk Hair Mask, Zenutrients Leave in Conditioner, Bremod Hair Oil",No,12,6,
11/24/2025,9,8,TRUE,Scalp Tonic (Volumising),,,,,No,Naturals Volumising Hair and Scalp Tonic,No,9,5,
11/25/2025,10,44,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Anti-Hair Fall)",,,,,No,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,8,6,
11/26/2025,11,12,TRUE,"Hair Mask, Leave in Conditioner, Hair Oil",,,,,Yes,"Cream Silk Hair Mask, Zenutrients Leave in Conditioner, Bremod Hair Oil",No,10,5,
11/27/2025,12,10,TRUE,Scalp Tonic (Volumising),,,,,No,Naturals Volumising Hair and Scalp Tonic,No,9,4,
11/28/2025,13,27,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Anti-Hair Fall)",,,,,No,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,8,5,
11/29/2025,14,16,TRUE,"Hair Mask, Leave in Conditioner, Hair Oil",27.8,NA,NA,Yes,Yes,"Cream Silk Hair Mask, Zenutrients Leave in Conditioner, Bremod Hair Oil",No,11,5,134 total shed count
,,,,,,,,,,,,,,
12/1/2025,16,5,TRUE,Scalp Tonic (Volumising),,,,,No,Naturals Volumising Hair and Scalp Tonic,No,8,1,
12/2/2025,17,8,FALSE,,,,,,No,,No,9,1,
12/3/2025,18,4,FALSE,,,,,,No,,No,4,5,
12/4/2025,19,8,FALSE,,,,,,No,,No,8,8,
12/5/2025,20,52,TRUE,"Shampoo, Hair Mask, Hair Oil, Scalp Tonic (Anti-Hair Fall)",,,,,Yes,"Luxe Organic Clarifying Shampoo, Cream Silk Hair Mask, Bremod Hair Oil, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,10,5,
12/6/2025,21,11,TRUE,Scalp Tonic (Volumising),,,,,No,Naturals Volumising Hair and Scalp Tonic,No,7,4,
12/7/2025,22,42,FALSE,"Shampoo, Conditioner, Scalp Tonic (Anti-Hair Fall)",28,,"WEEK 1, 20 (0-20 Very sparse scalp visible)",Yes,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,8,6,130 total shed count
12/8/2025,23,15,FALSE,"Leave in Conditioner, Scalp Tonic (Volumising)",,,,,No,"Zenutrients Leave in Conditioner, Naturals Volumising Hair and Scalp Tonic",No,9,8,
12/9/2025,24,3,FALSE,Leave in Conditioner,,,,,No,Zenutrients Leave in Conditioner,No,6,5,
12/10/2025,25,37,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Anti-Hair Fall)",,,,,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,8,7,
12/11/2025,26,6,TRUE,"Hair Mask, Scalp Tonic (Volumising), Hair Oil",,,,,No,"Cream Silk Hair Mask, Naturals Volumising Hair and Scalp Tonic, Bremod Hair Oil",No,6,6,
12/12/2025,27,4,FALSE,,,,,,No,,No,9,7,
12/13/2025,28,32,TRUE,"Shampoo, Conditioner, Scalp Tonic (Anti-Hair Fall)",,,,,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,11,4,
12/14/2025,29,9,TRUE,Scalp Tonic (Volumising),28.2,,"WEEK 2, 36 (21-40 Sparse)",No,No,Naturals Volumising Hair and Scalp Tonic,No,8,2,106 total shed count
12/15/2025,30,27,TRUE,"Shampoo, Conditioner, Scalp Tonic (Anti-Hair Fall), Hair Oil",,,,,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Naturals Anti-Hair Fall Hair and Scalp Tonic, Bremod Hair Oil",No,0,9,
12/16/2025,31,13,TRUE,Scalp Tonic (Volumising),,,,,No,Naturals Volumising Hair and Scalp Tonic,No,13,7,
12/17/2025,32,7,FALSE,,,,,,No,,No,7,3,
12/18/2025,33,25,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Anti-Hair Fall)",,,,,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,6,4,
